Part Name,Qty.,Cost (per part),Cost (total),Link
Seeed XIAO RP2040,1,"20,79","20,79",https://pl.aliexpress.com/item/1005003683887126.html
MX-Style switches,10,"0,83","8,3",https://pl.aliexpress.com/item/1005002378701948.html
EC11 Rotary encoder,1,"4,31","4,31",https://pl.aliexpress.com/item/1005008773438800.html?
0.91 inch OLED SSD1306 display,1,"6,99","6,99",https://pl.aliexpress.com/item/1005006365845676.html
Blank DSA keycaps,10,"1,028","10,28",https://pl.aliexpress.com/item/1005008404422530.html
M3x16mm screws,20,"0,29","5,8",https://pl.aliexpress.com/item/33019621855.html
M3x5mx4mm heatset inserts,50,"0,3",15,https://pl.aliexpress.com/item/1005007653131713.html
3D printed case (2 parts),1,N/A,N/A,N/A
,,,,
ALL PRICES IN PLN!!!,,,,
Note:,,,,
Getting 10 switches is most of the time cheaper than getting 6.,,,,
I dont think its possible to find exactly or less than 4 screws or 6 keycaps on aliexpress (And they're cheap anyway).,,,,
And once again i couldnt find screws or inserts in a good price that didnt come in big packs.,,,,
